ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,teff_gspphot
48.76344482842718,37.22923984836724,0.3208120169813672,0.029445045,-3.430971682329597,-2.656157273163609,15.039199,1.2619028,5189.9336
48.602480949428376,37.166634579883,1.1222036357595069,0.08749614,-0.2815418602731645,-3.192912620625441,17.103382,1.6774082,3891.916
48.63118332829862,37.17505182862363,2.270503263954009,0.017181989,20.122353913952026,-16.660678160897938,13.292969,1.1192045,5902.7095
48.524538998829534,37.17005446513463,0.5855363212906579,0.03836166,3.275575054361444,-2.8943756169975243,15.528727,1.0367451,6144.135
48.87296875489364,37.20439548809792,0.588591789093101,0.05872174,5.64206726420124,-4.171594840323836,16.584293,1.1400843,4756.451
48.88644772409967,37.35127047293182,0.757568706658764,0.047514368,-1.2166831291085929,-6.034492476819321,15.743924,1.3780546,5765.185
48.14287323114832,36.94308660152724,0.9331861726736236,0.039635327,9.63144491978754,4.84274798586572,14.844335,1.1384993,5382.44
48.09308779111714,36.93009232136144,3.965407121840741,0.28683785,-2.6330174840393035,-65.06026099510689,18.87588,2.4916515,3262.407
48.08046249933543,36.95256927242326,1.1713677911267149,0.09476528,14.451203415054174,-7.504527472667956,17.01611,1.5466156,4289.2695
48.384892780147325,37.20479920076652,3.396664171269708,0.11067876,-6.93085470888001,-29.58418111720595,17.649115,2.7191772,3416.5925
48.29774530937927,37.15661225056178,0.3553760216691283,0.033875503,1.5084475869668483,-5.087177569366463,14.4124155,0.85465145,6541.1562
48.23523758372372,37.21521448229777,3.1449858720459773,0.24379773,43.99362682509655,-19.53046252800071,18.935156,2.7209644,3214.4438
48.04743057170206,37.118291678938725,1.9514709746920704,0.017086377,-6.554561917152828,-12.723554297700892,13.328117,0.9800463,5672.0225
47.906146017999184,37.13198117893316,1.3167434226660195,0.05526068,12.763957950731982,-3.661638398232549,15.608259,1.2650728,5169.5337
48.16907528007101,37.19110259482076,1.0901459048478002,0.02300379,0.3814064895862645,-7.3204183929741635,14.361217,0.9649668,5730.211
48.24806937952741,37.26575230420108,1.0330482632580376,0.08417462,16.518510821944794,-6.786214241490869,17.082018,1.4979973,4320.0996
48.24481792471244,37.29881949052661,1.35308262093696,0.12743601,7.196360214651025,-15.423730191655116,17.953968,2.0214424,3888.5908
48.22930261177121,37.33104039784229,0.56555061458383,0.0546507,2.832407772687636,0.1725547351500151,16.233631,1.0243969,5155.604
48.22847445179804,37.40768433035922,1.0707397038699853,0.036212906,0.157342486562413,-3.454596176214332,15.479699,1.1851015,5411.128
48.16364792275717,37.36657255891473,1.45392975972495,0.106076896,-1.101265784104548,3.599131970181833,17.469206,1.8936081,4396.2354
48.17980195009694,37.44247693512894,3.4779478690677026,0.11857655,-14.971518224701263,-17.79733011076454,17.593279,2.7268238,5150.379199999999
48.213138287344144,37.489889863367736,4.191229175545375,0.1334919,23.166203895321026,-30.5727465594216,17.72925,2.5149746,3589.2495
48.50455227460161,37.21240512099797,1.1920828377596078,0.08483891,18.873033166340623,-13.216486026583944,16.959824,1.6749573,4376.5063
48.521693136878376,37.23117484546866,2.1553766560667342,0.072920665,-8.37803694882096,-1.215151611662178,16.716667,2.1000462,4073.9158
48.55527233979829,37.2533085689587,0.6048596601506688,0.048661992,-2.124397617733268,-6.922339416356346,16.123652,1.0355816,5637.4214
